"Country, Others",State,Continent,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases / 1M Polulation,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population,1 Case ever X People,1 Death ever X People,1 Test ever X People
USA,Mississippi,USA,"19,348",,889,,,,"5,103",,"6,501",299,"223,195","74,995",,,,
USA,South Carolina,USA,"17,955",,599,,,,"8,674",,"3,487",116,"278,883","54,166",,,,
USA,Nebraska,USA,"16,633",,216,,,,"6,538",,"8,598",112,"136,277","70,449",,,,
USA,Missouri,USA,"16,193",,890,,,,"11,658",,"2,638",145,"303,384","49,432",,,,
USA,Rhode Island,USA,"15,947",,833,,,,"13,679",,"15,053",786,"191,518","180,786",,,,
USA,Utah,USA,"13,981",,139,,,,"5,728",,"4,361",43,"262,782","81,967",,,,
USA,Kentucky,USA,"12,445",,499,,,,"8,537",,"2,786",112,"322,900","72,275",,,,
USA,Arkansas,USA,"12,095",,177,,,,"4,055",,"4,008",59,"193,794","64,217",,,,
USA,Nevada,USA,"11,173",+227,464,+1,,,"2,681",,"3,627",151,"235,500","76,457",,,,
USA,Kansas,USA,"11,124",,245,,,,"4,752",,"3,818",84,"129,152","44,332",,,,
USA,Delaware,USA,"10,229",,419,,,,"3,694",,"10,505",430,"80,099","82,257",,,,
